ds,price_yhat,price_lower,price_upper,rent_yhat,rent_lower,rent_upper,projected_roi_pct,prediction_id,target_date_id,is_latest_forecast,generated_at
2025-12-01,1504927.8600483183,1459820.5987905397,1547503.3038815386,121595.3601684047,116226.47511123143,126962.88589203954,1067.4,202512_202606221956,20251201,1,2026-06-22 19:56:34.300409
2026-01-01,1499817.4394921928,1454833.8598301865,1540650.5676833806,117954.78604301589,112590.10629894861,123584.8402833454,1067.4,202601_202606221956,20260101,1,2026-06-22 19:56:34.300409
2026-02-01,1504436.2370882484,1462214.4200490757,1545313.7623752046,120916.07049914372,115395.54976005117,126401.71118733108,1067.4,202602_202606221956,20260201,1,2026-06-22 19:56:34.300409
2026-03-01,1501362.5153243926,1461202.1916355696,1545580.7557536026,119583.6443683013,114218.65657484146,124980.99615514549,1067.4,202603_202606221956,20260301,1,2026-06-22 19:56:34.300409
2026-04-01,1522131.1046412,1477561.8208791579,1565583.2119216593,122623.98557564504,116546.16818188473,127901.84530019606,1067.4,202604_202606221956,20260401,1,2026-06-22 19:56:34.300409
2026-05-01,1507731.931349601,1466634.899340618,1549761.8536539522,121924.62707079566,116355.84098662944,127577.07784733608,1067.4,202605_202606221956,20260501,1,2026-06-22 19:56:34.300409
2026-06-01,1519940.6852057993,1478422.2582671053,1559138.5691214746,122636.77002879226,116983.96433149104,128311.24015227372,1067.4,202606_202606221956,20260601,1,2026-06-22 19:56:34.300409
2026-07-01,1520337.9001665341,1477829.789301677,1562626.2632272122,121725.84889170306,116163.19884280722,127287.46671534219,1067.4,202607_202606221956,20260701,1,2026-06-22 19:56:34.300409
2026-08-01,1526073.9785808902,1479934.1123147928,1569935.2037736778,122153.34601745878,116003.44899376191,127461.19993584928,1067.4,202608_202606221956,20260801,1,2026-06-22 19:56:34.300409
2026-09-01,1514882.5529731645,1472845.8802127186,1557798.6762068584,122626.65311622464,116703.71831315086,127927.57401977989,1067.4,202609_202606221956,20260901,1,2026-06-22 19:56:34.300409
2026-10-01,1518943.4672949912,1477287.303167066,1557899.7855732015,123146.43118980892,117738.00917850163,128992.48834062289,1067.4,202610_202606221956,20261001,1,2026-06-22 19:56:34.300409
2026-11-01,1539441.4226094508,1496374.4269946471,1578819.6160334197,123359.29178355669,118204.54545302602,128720.7710030473,1067.4,202611_202606221956,20261101,1,2026-06-22 19:56:34.300409
2026-12-01,1522737.689025381,1480959.2191925128,1566604.6321173215,123624.19778227285,117543.93355037305,129247.81134356998,1067.4,202612_202606221956,20261201,1,2026-06-22 19:56:34.300409
